EDADHOM,EDADMUJ,DEPREG,MUPREG,MESREG,AÑOREG,DIAOCU,MESOCU,DEPOCU,MUPOCU,PUEHOM,PUEMUJ,NACHOM,NACMUJ,ESCHOM,ESCMUJ,CIUOMUJ,CIUOHOM,AÑOOCU
28,26,,805,7,2023,18,2,8,805,1,1,320,320,1,2,97,52,2023
22,21,,114,6,2023,25,3,1,114,4,4,320,320,2,9,97,81,2023
27,20,,105,7,2023,8,7,1,105,9,9,320,320,4,9,97,921,2023
23,19,,1332,8,2023,25,8,13,1332,4,4,320,320,4,9,97,97,2023
33,28,,1601,8,2023,31,7,16,1609,4,1,320,320,5,4,97,23,2023
28,28,,117,2,2023,28,1,1,115,1,4,320,320,3,4,35,97,2023
30,19,,2202,12,2023,12,10,22,2202,4,4,320,320,3,9,97,97,2023
22,22,,1011,3,2023,4,3,10,1011,9,9,320,320,3,2,91,97,2023
25,24,,601,8,2023,30,7,6,601,4,4,320,320,4,4,97,97,2023
34,33,,713,10,2023,30,9,7,713,1,1,320,320,4,1,97,34,2023
33,34,,2201,2,2023,8,2,22,2201,3,3,320,320,2,1,97,921,2023
21,20,,1230,7,2023,26,6,12,1230,4,4,320,320,9,9,97,52,2023
21,23,,101,10,2023,19,8,1,101,4,4,320,320,9,4,97,97,2023
29,26,,2107,3,2023,23,2,21,2107,4,4,320,320,1,2,97,921,2023
37,36,,101,2,2023,15,1,1,117,4,4,320,320,4,4,41,52,2023
26,23,,1002,1,2023,5,1,10,1002,4,4,320,320,4,3,97,97,2023
24,26,,801,6,2023,16,6,8,805,1,1,320,320,3,2,97,52,2023
20,22,,1601,9,2023,26,8,16,1601,1,9,320,320,9,2,97,921,2023
26,24,,301,12,2023,25,11,1,1202,4,9,320,320,3,4,97,97,2023
36,33,,203,6,2023,6,6,2,203,4,4,320,320,2,2,97,921,2023
43,49,,606,6,2023,15,4,6,606,4,4,320,320,2,1,97,71,2023
22,18,,401,7,2023,1,7,4,401,1,9,320,320,2,9,99,97,2023
